ID,prob_admiration,prob_amusement,prob_approval,prob_caring,prob_curiosity,prob_excitement,prob_desire,prob_gratitude,prob_joy,prob_love,prob_pride,prob_optimism,prob_relief,prob_anger,prob_annoyance,prob_disappointment,prob_disapproval,prob_disgust,prob_embarrassment,prob_fear,prob_grief,prob_nervousness,prob_remorse,prob_sadness,prob_confusion,prob_realization,prob_surprise,prob_neutral,positive_emotion,negative_emotion,ambiguous_emotion
23292,0.2,0.11,0.05,0.0,0.0,0.01,0.0,0.0,0.12,0.04,0.0,0.03,0.0,0.0,0.03,0.06,0.06,0.01,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.01,0.0,0.2,0.56,0.2,0.22
239175,0.27,0.02,0.08,0.0,0.01,0.02,0.03,0.0,0.09,0.06,0.0,0.02,0.0,0.0,0.01,0.03,0.02,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.27,0.6,0.07,0.29
24078,0.28,0.03,0.12,0.01,0.03,0.01,0.01,0.0,0.06,0.05,0.0,0.03,0.0,0.0,0.01,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.01,0.24,0.63,0.07,0.3
12267,0.17,0.02,0.11,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.0,0.01,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.52,0.43,0.02,0.53
1522,0.15,0.14,0.1,0.0,0.01,0.01,0.01,0.0,0.11,0.01,0.0,0.01,0.0,0.0,0.04,0.03,0.04,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.0,0.28,0.55,0.12,0.31
24069,0.04,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.02,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.02,0.0,0.61,0.17,0.1,0.71
8599,0.05,0.04,0.07,0.0,0.0,0.02,0.01,0.0,0.07,0.0,0.0,0.01,0.0,0.07,0.05,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.56,0.27,0.13,0.57
150312,0.16,0.06,0.09,0.01,0.01,0.02,0.01,0.01,0.11,0.03,0.0,0.02,0.0,0.0,0.02,0.03,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.01,0.33,0.53,0.09,0.37
250706,0.14,0.02,0.14,0.0,0.01,0.01,0.0,0.0,0.07,0.02,0.0,0.01,0.01,0.01,0.05,0.01,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.04,0.35,0.43,0.12,0.42
220701,0.11,0.01,0.13,0.01,0.0,0.01,0.0,0.0,0.07,0.08,0.0,0.04,0.0,0.0,0.08,0.11,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.27,0.46,0.22,0.28
90930,0.11,0.21,0.06,0.0,0.04,0.01,0.05,0.0,0.1,0.19,0.0,0.02,0.0,0.0,0.01,0.05,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.0,0.09,0.79,0.08,0.12
147168,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.08,0.05,0.12,0.02,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.67,0.01,0.29,0.68
9784,0.19,0.01,0.15,0.0,0.01,0.0,0.0,0.0,0.0,0.03,0.0,0.01,0.0,0.0,0.06,0.01,0.01,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.0,0.43,0.4,0.12,0.46
19624,0.19,0.03,0.13,0.01,0.01,0.02,0.02,0.02,0.08,0.04,0.0,0.03,0.0,0.01,0.02,0.03,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.02,0.01,0.25,0.58,0.11,0.3
64843,0.19,0.02,0.19,0.0,0.01,0.03,0.0,0.0,0.02,0.09,0.0,0.02,0.0,0.0,0.03,0.05,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.0,0.22,0.57,0.14,0.27
4532,0.21,0.01,0.11,0.0,0.01,0.02,0.01,0.01,0.04,0.05,0.0,0.01,0.0,0.01,0.04,0.06,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.02,0.26,0.48,0.15,0.33
318079,0.12,0.03,0.09,0.0,0.02,0.02,0.0,0.0,0.06,0.0,0.0,0.01,0.0,0.0,0.01,0.01,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.52,0.35,0.08,0.53
39813,0.15,0.02,0.13,0.0,0.0,0.01,0.01,0.0,0.07,0.07,0.0,0.01,0.0,0.0,0.02,0.01,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.01,0.37,0.47,0.07,0.41
1275,0.13,0.05,0.11,0.0,0.01,0.02,0.01,0.0,0.14,0.04,0.0,0.02,0.0,0.0,0.03,0.03,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.02,0.0,0.3,0.53,0.11,0.34
138233,0.14,0.02,0.11,0.0,0.01,0.01,0.01,0.01,0.06,0.05,0.0,0.02,0.0,0.0,0.02,0.04,0.05,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.0,0.4,0.44,0.13,0.43
2719,0.13,0.04,0.12,0.0,0.01,0.01,0.0,0.0,0.1,0.03,0.0,0.01,0.0,0.01,0.03,0.03,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.36,0.45,0.12,0.4
14634,0.28,0.02,0.11,0.0,0.01,0.02,0.02,0.0,0.07,0.06,0.0,0.02,0.0,0.0,0.02,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.01,0.22,0.61,0.08,0.28
227254,0.17,0.02,0.12,0.0,0.01,0.02,0.0,0.0,0.12,0.06,0.0,0.01,0.0,0.0,0.01,0.01,0.02,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.03,0.01,0.0,0.35,0.53,0.05,0.39
186995,0.12,0.04,0.09,0.0,0.01,0.02,0.03,0.0,0.1,0.06,0.0,0.03,0.0,0.0,0.03,0.06,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.01,0.0,0.29,0.5,0.16,0.31
182952,0.01,0.01,0.06,0.0,0.0,0.01,0.0,0.0,0.02,0.07,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.77,0.19,0.01,0.78
172969,0.17,0.01,0.08,0.0,0.01,0.01,0.0,0.0,0.02,0.03,0.0,0.01,0.0,0.0,0.01,0.01,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.54,0.34,0.06,0.58
